tas,	Year, Month, Country
27.1145,1941,5,191.81
27.0946,1941,6,264.869
27.5476,1941,7,305.046
26.8881,1941,8,300.364
25.8418,1941,9,229.46
24.4897,1941,10,285.679
22.7154,1941,11,144.663
21.4047,1941,12,104.768
20.2217,1942,1,20.7474
21.5084,1942,2,21.9495
23.2954,1942,3,71.2139
25.4654,1942,4,98.805
26.8614,1942,5,133.996
27.2278,1942,6,254.37
26.8383,1942,7,239.318
26.5821,1942,8,251.567
26.4685,1942,9,177.717
24.9388,1942,10,287.344
23.3327,1942,11,130.93
20.6908,1942,12,72.1321
19.192,1943,1,12.9288
20.5195,1943,2,14.9516
22.7081,1943,3,48.805
24.8667,1943,4,103.839
27.0865,1943,5,139.367
27.258,1943,6,188.272
27.106,1943,7,244.867
26.5918,1943,8,304.312
26.3345,1943,9,275.104
25.2382,1943,10,151.378
22.4729,1943,11,140.753
20.4722,1943,12,72.9583
20.6727,1944,1,31.522
21.0461,1944,2,18.4373
22.7601,1944,3,16.1635
25.9034,1944,4,77.2718
26.3863,1944,5,173.749
27.0021,1944,6,204.048
27.2214,1944,7,254.998
26.6545,1944,8,351.924
26.3151,1944,9,224.547
24.4527,1944,10,324.37
22.7925,1944,11,212.886
18.2164,1944,12,64.086
19.1859,1945,1,29.3748
19.2883,1945,2,28.2109
21.8852,1945,3,32.4914
25.0775,1945,4,70.2638
26.1077,1945,5,208.976
27.4587,1945,6,278.014
27.3159,1945,7,198.92
26.8971,1945,8,361.416
26.4633,1945,9,352.63
23.8965,1945,10,126.243
23.7971,1945,11,236.292
20.5451,1945,12,73.7124
20.2428,1946,1,12.4865
21.4644,1946,2,11.4236
23.1751,1946,3,27.429
26.0307,1946,4,79.4929
26.6991,1946,5,239.019
27.5713,1946,6,227.448
26.7619,1946,7,288.481
26.7645,1946,8,295.093
26.3062,1946,9,239.455
24.3957,1946,10,264.349
23.0802,1946,11,115.59
21.1434,1946,12,42.0222
21.6732,1947,1,46.2888
20.4248,1947,2,12.9099
22.0653,1947,3,46.3048
24.2624,1947,4,106.132
27.3209,1947,5,150.247
27.049,1947,6,244.669
26.914,1947,7,343.111
27.015,1947,8,212.042
26.1897,1947,9,265.018
24.2199,1947,10,149.041
22.4661,1947,11,87.1868
20.3134,1947,12,44.1613
19.8484,1948,1,8.17599
21.743,1948,2,27.8435
22.9013,1948,3,44.7903
25.3576,1948,4,95.181
26.8326,1948,5,218.879
27.5233,1948,6,220.292
26.8977,1948,7,274.978
26.952,1948,8,284.89
26.205,1948,9,245.094
24.7128,1948,10,201.705
21.298,1948,11,89.3474
21.6611,1948,12,47.2336
19.2245,1949,1,9.1731
21.3711,1949,2,28.5444
22.3166,1949,3,29.2816
25.0459,1949,4,86.6358
27.0106,1949,5,140.376
27.4209,1949,6,199.17
27.2946,1949,7,212.931
27.0517,1949,8,295.589
26.4437,1949,9,381.194
24.8744,1949,10,260.077
22.7852,1949,11,240.586
